AAVE,,,,,,,,MORPHO,,,,,,
,DATE,PRICE,LENDING_LOANS,LENDING_DEPOSITS,FEES,TVL,,,DATE,PRICE,LENDING_LOANS,LENDING_DEPOSITS,FEES,TVL
,12/01/2024,209.2326218,12508102189,31424249851,2154107.167,19083985123,,,12/01/2024,1.379014075,1202281112,3181493492,387858,1979212380
,12/02/2024,236.0930012,12510667558,31479725915,2779185.62,19135273467,,,12/02/2024,1.362109958,1205258590,3276189502,405510,2070930912
,12/03/2024,241.8867141,12661635550,31552602862,3322261.833,19062533567,,,12/03/2024,1.525565692,1229762365,3311733384,514766,2081971019
,12/04/2024,255.96661,12737399457,31454492207,2934827.514,18888592943,,,12/04/2024,1.630563779,1255082224,3389589942,460453,2134507718
,12/05/2024,248.5894043,13265162681,32689715049,3834017.831,19594351866,,,12/05/2024,2.398931667,1297494011,3421826289,486814,2124332277
,12/06/2024,281.7551671,13355109531,32790293359,3984139.267,19606678518,,,12/06/2024,2.319018768,1357778160,3591693593,481537,2233915433
,12/07/2024,282.3986183,13777536371,34190754887,2898100.197,20584721300,,,12/07/2024,2.223740114,1380385306,3651648020,433070,2271262715
,12/08/2024,284.2814203,13638093403,34230070182,2247717.516,20763438119,,,12/08/2024,2.112957997,1409697761,3725283730,573500,2315585968
,12/09/2024,259.1372751,13886274610,34698916208,4858692.79,20984150078,,,12/09/2024,1.748220385,1430717957,3675524934,503771,2244806977
,12/10/2024,273.2796273,13347728955,32790730358,3099079.469,19614504149,,,12/10/2024,2.135232339,1427107551,3657261615,539930,2230154063
,12/11/2024,301.1653281,13461944495,32629874208,2635557.307,19338760352,,,12/11/2024,2.270467118,1457358726,3771859532,582625,2314500806
,12/12/2024,367.6425225,13976730863,34203987008,3124431.445,20392425350,,,12/12/2024,2.475082741,1467652377,3843656652,552709,2376004275
,12/13/2024,375.6032566,14127359356,34637382677,2488005.803,20672266047,,,12/13/2024,2.962039247,1494105005,3887341058,492233,2393236052
,12/14/2024,365.9950537,14062609723,34916386890,2567822.48,21014851028,,,12/14/2024,2.676046625,1508870361,3927547958,465592,2418677597
,12/15/2024,372.2407974,14086262333,34891304439,2552825.521,20963312837,,,12/15/2024,2.84996384,1535190970,4006904873,505697,2471713903
,12/16/2024,379.8970965,14453329266,35741319435,2546769.366,21445307599,,,12/16/2024,2.691648128,1582290908,4100630530,542062,2518339622
,12/17/2024,361.4677144,14557510011,36065563743,2921553.895,21667731638,,,12/17/2024,2.624093851,1588669024,4123574223,555150,2534905198
,12/18/2024,340.7055705,14332554628,35457798903,3391808.508,21282850747,,,12/18/2024,2.794301869,1627572473,4115822434,549037,2488249961
,12/19/2024,316.7226714,13788008760,33219353548,2968650.383,19589031920,,,12/19/2024,2.452685395,1638630486,4213504923,768573,2574874436
,12/20/2024,329.2110317,13309361297,32190856930,3008777.824,19037922420,,,12/20/2024,2.790036878,1670584953,4356985340,691281,2686400387
,12/21/2024,298.0383622,13446701796,32370023832,2758755.024,19078016273,,,12/21/2024,2.270177529,1696485638,4465057415,525542,2768571777
,12/22/2024,316.8074825,13218563393,31770756526,2697092.469,18703924906,,,12/22/2024,2.257991566,1684251639,4405928700,576437,2721677061
,12/23/2024,383.4879779,13101286262,31384875336,2682630.163,18435204541,,,12/23/2024,2.761130118,1745395281,4422866450,614055,2677471169
,12/24/2024,376.2119054,13389330596,32154522448,2522282.986,18915916346,,,12/24/2024,2.788358674,1714972629,4363724969,601232,2648752340
,12/25/2024,368.6648877,13634845369,33306998745,2535698.407,19822155486,,,12/25/2024,3.062682742,1766773729,4612249210,685246,2845475482
,12/26/2024,337.4587811,13631772280,33294365075,2521665.581,19811900575,,,12/26/2024,2.925064237,1721024461,4572661756,667226,2851637295
,12/27/2024,323.6353726,13308084247,32323954264,2555057.846,19164610980,,,12/27/2024,3.02407969,1773065903,4640409581,644708,2867343677
,12/28/2024,353.3013062,13339134528,32262238616,2562747.228,19069800738,,,12/28/2024,3.037606004,1753662467,4551680100,497711,2798017633
,12/29/2024,331.8686174,13517806919,32878391635,2535021.688,19506973532,,,12/29/2024,2.839668581,1837446882,4718877500,639659,2881430618
,12/30/2024,321.1668772,13400844361,32655783245,2603677.349,19401518228,,,12/30/2024,2.95829086,1837201986,4716609800,592698,2879407814
,12/31/2024,308.787802,13366533525,32426544178,2288219.428,19206052300,,,12/31/2024,3.4800747,1841048630,4690788595,609195,2849739965
